country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,Development_Index,Trade_Balance,Health_Impact_Ratio,Segment
Afghanistan,4.513054897080286,10.0,7.58,44.9,7.384610383176974,2.3456445824544927,56.2,5.82,6.317164686747284,15.488793436824157,-34.9,1.6795718582780523,High Risk Country
Albania,2.8678989020441064,28.0,6.55,48.6,9.203416456903359,1.7029282555214393,76.3,1.65,8.316544717929398,32.71383140736314,-20.6,2.2839019866883947,Emerging Economy
Algeria,3.342861804649192,38.4,4.17,31.4,9.465060106725137,2.8390784635086144,76.5,2.89,8.403128235128264,28.229760563421387,7.0,1.2474341578226296,Emerging Economy
Angola,4.787491742782046,62.3,2.85,42.9,8.682877107057168,3.152736022363656,60.1,6.16,8.169336395928386,16.073597122961946,19.4,0.595301287839683,High Inflation Risk
Antigua and Barbuda,2.424802725718295,45.5,6.03,58.9,9.857495968685136,0.8919980393051105,76.8,2.13,9.409273194575334,39.61838550589833,-13.399999999999999,2.4868002398891003,Emerging Economy
Argentina,2.740840023925201,18.9,8.1,16.0,9.83633227734872,3.086486636822455,75.8,2.37,9.239996256883693,34.61578483459188,2.8999999999999986,2.9552983498832086,Emerging Economy
Armenia,2.9496883350525844,20.8,4.4,45.3,8.81001204797317,2.1713368063840917,73.3,1.69,8.0774471493312,30.57525031562244,-24.499999999999996,1.4916830187490169,Other
Australia,1.7578579175523736,19.8,8.73,20.9,10.63106031411106,0.7701082216960736,82.0,1.93,10.408224678961561,58.61638984824418,-1.0999999999999979,4.966271683752222,Developed Nation
Austria,1.667706820558076,51.3,11.0,47.8,10.673618922112436,0.6275414234619514,80.5,1.44,10.408224678961561,60.91109201501075,3.5,6.595883559628901,Developed Nation
Azerbaijan,3.6938669956249752,54.3,5.88,20.7,9.680406499268875,2.6946271807700692,69.1,1.92,8.67265729404031,23.675206469775116,33.599999999999994,1.5918277531281677,Emerging Economy
Bahamas,2.6946271807700692,35.0,7.89,43.7,10.038935856711177,-0.3314596947976687,73.8,1.86,10.239995502805316,34.91352422735922,-8.700000000000003,2.9280488433821854,Emerging Economy
Bahrain,2.2617630984737906,69.5,4.97,50.9,10.623787731088578,2.1329823086078656,76.0,2.16,9.937937287265354,42.69312072670766,18.6,2.1974007814318366,Other
Bangladesh,3.919991175077323,16.0,3.52,21.8,7.80016307039296,2.096790180014449,70.4,2.33,6.6320017773956295,21.640907098755203,-5.800000000000001,0.8979612052138273,Low GDP Trap
Barbados,2.7212954278522306,39.5,7.97,48.7,9.635673464721814,0.2783890255401883,76.7,1.78,9.680406499268875,35.28322540113586,-9.200000000000003,2.9287522105934247,Emerging Economy
Belarus,1.8718021769015913,51.4,5.61,64.5,9.692828247710418,2.7788192719904172,70.4,1.49,8.704668113450987,47.43957318617323,-13.100000000000001,2.997111590759167,Emerging Economy
Belgium,1.7047480922384253,76.4,10.7,74.7,10.623787731088578,1.0577902941478545,80.0,1.86,10.408224678961561,59.26506846967033,1.7000000000000028,6.27658716775587,Developed Nation
Belize,2.9856819377004897,58.2,5.2,57.5,8.97221007835365,0.76080582903376,71.4,2.71,8.375860015299594,29.72455604631656,0.7000000000000028,1.741645663705536,Other
Benin,4.718498871295094,23.8,4.1,37.2,7.507141079727608,0.6339278208999741,61.8,5.36,6.6320017773956295,16.093919894544786,-13.400000000000002,0.868920415546198,High Risk Country
Bhutan,3.7773481021015445,42.5,5.2,70.7,8.76732914779405,1.9444805562457188,72.1,2.38,7.687538766201629,23.443660875397686,-28.200000000000003,1.3766271626136222,Other
Bolivia,3.8628327612373745,41.2,4.84,34.3,8.596189197642735,2.280339484046726,71.6,3.2,7.591357046698551,22.726209409133325,6.900000000000006,1.2529664883678813,Low GDP Trap
Bosnia and Herzegovina,2.066862759472976,29.7,11.1,51.3,9.18204377282107,0.8754687373538999,76.8,1.31,8.436200032206706,45.681912537387454,-21.599999999999998,5.370458173444646,Emerging Economy
Botswana,3.979681653901961,43.6,8.3,51.3,9.495594499353297,2.2945529212967815,57.1,2.88,8.756367559802975,18.93416826073912,-7.699999999999996,2.085593954949159,Emerging Economy
Brazil,3.0349529867072724,10.7,9.01,11.8,9.581972891547895,2.2417729535972883,74.2,1.8,9.32375833901174,30.677816637803453,-1.1000000000000014,2.96874450426834,Emerging Economy
Brunei,2.4423470353692043,67.4,2.84,28.0,10.858393044780485,2.8735646395797834,77.1,1.84,10.408224678961561,40.27544664997707,39.400000000000006,1.1628159139025398,High Inflation Risk
Bulgaria,2.468099531471619,50.2,6.87,53.0,9.635673464721814,0.7466879474879752,73.9,1.57,8.830689198760998,37.424083383059035,-2.799999999999997,2.7835182140745034,Emerging Economy
Burkina Faso,4.762173934797756,19.2,6.74,29.6,7.266128779556451,2.0554049638515943,57.9,5.87,6.3561076606958915,15.018820693975725,-10.400000000000002,1.4153199971865873,High Risk Country
Burundi,4.549657476057833,8.92,11.6,39.2,6.639875833826536,2.5877640352277083,57.7,6.26,5.44673737166631,15.338871898101928,-30.28,2.549642486504526,High Risk Country
Cambodia,3.8155121050473024,54.1,5.68,59.5,7.83241092718792,1.415853163361435,66.1,2.88,6.668228248417403,21.12446165980807,-5.399999999999999,1.4886599343994436,Low GDP Trap
Cameroon,4.6913478822291435,22.2,5.13,27.0,7.886457270977689,1.068153081183401,57.3,5.11,7.1785454837637,15.425204988285028,-4.800000000000001,1.093502364092945,High Risk Country
Canada,1.8870696490323797,29.1,11.3,31.0,10.614007941153417,1.3532545070416904,81.3,1.63,10.408224678961561,54.222817198391205,-1.8999999999999986,5.9881202613768005,Developed Nation
Cape Verde,3.3141860046725258,32.7,4.09,61.8,8.670943791222156,0.4087928982008391,72.5,2.67,8.105005537547246,26.937519258998485,-29.099999999999994,1.234088851450609,Other
Central African Republic,4.968944867042047,11.8,3.98,26.5,6.790097235513905,1.1019400787607843,47.5,5.21,6.102558594613569,12.154020108111704,-14.7,0.8009748762556197,High Risk Country
Chad,4.968944867042047,36.8,4.53,43.5,7.565793282428515,2.0001277349601105,56.5,6.59,6.8001700683022,14.261772921001711,-6.700000000000003,0.9116623591552657,High Risk Country
Chile,2.272125885509337,37.7,7.96,31.3,9.873079890114703,2.298577071596507,79.1,1.88,9.465060106725137,43.32424564353449,6.400000000000002,3.503327016678755,Emerging Economy
China,2.8154087194227095,26.3,5.07,22.6,9.162304922937626,2.0719132752590443,74.6,1.59,8.4252971767117,32.743949915219446,3.6999999999999993,1.8008042544670344,Emerging Economy
Colombia,2.975529566236472,15.9,7.59,17.8,9.296609807128359,1.5810384379124023,76.4,2.01,8.740496729931813,31.737915700332536,-1.9000000000000004,2.550806446732785,Emerging Economy
Comoros,4.490881039585964,16.5,4.51,51.7,7.2520539518528135,1.5830939370944985,65.9,4.75,6.646390514847729,17.768995384936215,-35.2,1.004257284983839,High Risk Country
"Congo, Dem. Rep.",4.762173934797756,41.1,7.91,49.6,6.413458957167357,3.0819099697950434,57.5,6.54,5.814130531825066,14.641966136407756,-8.5,1.6610061094578497,High Risk Country
"Congo, Rep.",4.1728476237100445,85.1,2.46,54.7,8.55468163582723,3.077312260546414,60.4,4.95,7.916078096302786,18.421655105581078,30.39999999999999,0.5895254803991223,High Inflation Risk
Costa Rica,2.4159137783010487,33.2,10.9,35.0,9.472781556562168,2.0241930674493576,80.4,1.92,9.012011377036412,40.93059687052974,-1.7999999999999972,4.51175041837182,Emerging Economy
Cote d'Ivoire,4.718498871295094,50.6,5.3,43.3,7.897668150726906,1.8547342683894434,56.3,5.27,7.107425474110705,15.111817459281575,7.300000000000004,1.1232385859499634,High Risk Country
Croatia,1.8718021769015913,37.6,7.76,38.1,9.908524844053396,0.5993858007454709,76.3,1.55,9.510519035757246,51.13737181257857,-0.5,4.145737244971682,Emerging Economy
Cyprus,1.5260563034950494,50.2,5.97,57.5,10.431199791458543,1.1019400787607843,79.9,1.42,10.335302435967074,65.96512985587376,-7.299999999999997,3.912044389402417,Developed Nation
Czech Republic,1.4816045409242156,66.0,7.88,62.9,10.250652418696085,-0.8878912573524571,77.5,1.51,9.893487720457795,65.90432024340589,3.1000000000000014,5.318558213303333,Emerging Economy
Denmark,1.62924053973028,50.5,11.4,43.6,10.691967639914864,1.4398351280479205,79.5,1.87,10.408224678961561,61.74667881486103,6.899999999999999,6.997125177039398,Developed Nation
Dominican Republic,3.5667118201397288,22.7,6.22,33.3,9.314790473332646,1.8625285401162623,74.6,2.6,8.603554357064281,25.939394460742403,-10.599999999999998,1.7439031560885472,Emerging Economy
Ecuador,3.261935314328648,27.9,8.06,32.4,9.143238568435446,2.136530508663963,76.7,2.66,8.446985296372741,28.906221239465147,-4.5,2.4709257613402005,Emerging Economy
Egypt,3.40452517175483,21.3,4.66,26.6,9.19634286233233,2.4069451083182885,70.5,3.19,7.8636512654486515,25.71870957342607,-5.300000000000001,1.3687664989705592,Emerging Economy
El Salvador,3.005682604407159,26.9,6.91,46.6,8.895766604056085,1.2947271675944,74.1,2.27,8.003363058629947,30.275694955034915,-19.700000000000003,2.2989786046830214,Other
Equatorial Guinea,4.718498871295094,85.8,4.48,58.9,10.425282789490705,3.254242968705492,60.9,5.21,9.746892220313054,17.18177268262263,26.9,0.9494545028407239,High Inflation Risk
Eritrea,4.028916756899646,4.79,2.66,23.3,7.259116128097101,2.533696813957432,61.7,4.61,6.180016653652572,18.649959111980056,-18.51,0.6602270934103235,Low GDP Trap
Estonia,1.7047480922384253,75.1,6.03,68.7,10.030164255362632,1.007957920399979,76.0,1.72,9.588845298501564,56.08981760367383,6.3999999999999915,3.537179497342794,Emerging Economy
Fiji,3.2228678461377385,57.8,4.86,63.9,8.902591637374087,1.6544112780768316,65.3,2.67,8.202756381655638,25.56895037374359,-6.100000000000001,1.5079737153430568,Other
Finland,1.3862943611198906,38.7,8.95,37.4,10.591647316585027,0.3008450589780618,80.0,1.87,10.408224678961561,72.85600722919757,1.3000000000000043,6.456060307978111,Developed Nation
France,1.6486586255873816,26.8,11.9,28.1,10.515993929932415,0.7178397931503169,81.4,2.03,10.408224678961561,62.06513405553443,-1.3000000000000007,7.217989106604945,Developed Nation
Gabon,4.169761201506855,57.7,3.5,18.9,9.642187721358466,2.8678989020441064,62.9,4.08,9.076923258535832,19.574049216631167,38.800000000000004,0.8393766047646041,Emerging Economy
Gambia,4.398146016553765,23.8,5.69,42.7,7.415175109613295,1.667706820558076,65.5,5.71,6.333279628139691,18.018604757431252,-18.900000000000002,1.293726942803615,High Risk Country
Georgia,2.8622008809294686,35.0,10.1,52.8,8.814479000010714,2.256541154492639,72.8,1.92,7.993282328101591,31.307292903569074,-17.799999999999997,3.5287530191522176,Other
Germany,1.6486586255873816,42.3,11.6,37.1,10.606609816118151,0.5641767992629853,80.1,1.39,10.408224678961561,61.33157763879388,5.199999999999996,7.0360229946737265,Developed Nation
Ghana,4.3267781604434035,29.5,5.22,45.9,8.026496938945412,2.8678989020441064,62.2,4.27,7.1785454837637,17.889764520484853,-16.4,1.2064404058712037,High Inflation Risk
Greece,1.589235205116581,22.1,10.3,30.7,10.264687244346277,0.514618422004687,80.4,1.48,10.199918739620157,63.467387117545854,-8.599999999999998,6.481104852723438,Emerging Economy
Grenada,2.747270914255491,23.8,5.86,49.2,9.32375833901174,0.3920420877760237,71.3,2.24,8.905308661189288,32.58836488809235,-25.400000000000002,2.1330258947498293,Emerging Economy
Guatemala,3.594568774642695,25.8,6.85,36.3,8.811503250158239,1.814824742159051,71.3,3.38,7.9483852851118995,24.49803969713263,-10.499999999999996,1.905652786037151,Other
Guinea,4.700480365792417,30.3,4.93,43.2,7.0825485693553,2.8390784635086144,58.0,5.34,6.47543271670409,15.223546471296874,-12.900000000000002,1.0488289741358998,High Risk Country
Guinea-Bissau,4.74493212836325,14.9,8.5,35.2,7.237778191923443,1.3787660946990992,55.6,5.05,6.306275286948016,14.57219020385071,-20.300000000000004,1.791384949257862,High Risk Country
Guyana,3.653252276470785,51.4,5.38,79.1,8.67265729404031,1.9065751436566365,65.5,2.65,8.019941687677365,22.498473349647682,-27.699999999999996,1.4726604112862787,Other
Haiti,4.968944867042047,15.3,6.91,64.7,7.313886831633462,1.864080130807681,32.1,3.33,6.4967749901858625,9.239519264207372,-49.400000000000006,1.3906372851573698,High Risk Country
Hungary,1.9459101490553132,81.8,7.33,76.5,10.012386799492118,1.2029723039923526,74.5,1.25,9.48044384215367,48.30275986138248,5.299999999999997,3.766874849570273,Emerging Economy
Iceland,1.2809338454620645,53.4,9.4,43.3,10.566201298475118,1.8671761085128091,82.0,2.2,10.408224678961561,80.39012033466199,10.100000000000001,7.338396150044102,Developed Nation
India,4.091005660956586,22.6,4.05,27.1,8.39185670010494,2.300583090323373,66.2,2.6,7.208600337960199,19.99519526915981,-4.5,0.9899766306001644,Low GDP Trap
Indonesia,3.535145354171894,24.3,2.61,22.4,9.039670667922676,2.791165107812717,69.9,2.48,8.042699496897637,24.60503358431096,1.9000000000000021,0.7383006180834653,Emerging Economy
Iran,3.0106208860477417,24.4,5.6,19.4,9.76428295481558,2.827313621929028,74.5,1.76,8.784315349902657,30.90678030433444,5.0,1.8600814290342356,Emerging Economy
Iraq,3.6349511120883804,39.4,8.41,34.1,9.44943600950432,2.8678989020441064,67.2,4.56,8.412054873292933,23.40099997491495,5.299999999999997,2.3136487233711986,Emerging Economy
Ireland,1.6486586255873816,103.0,9.19,86.5,10.729875458480967,-1.4398351280479205,80.4,2.05,10.408224678961561,61.58831098297666,16.5,5.574228562159616,Developed Nation
Israel,1.7227665977411035,35.0,7.63,32.9,10.295563423525277,1.0188473201992472,81.4,3.03,10.328787967145063,59.22122678977232,2.1000000000000014,4.42892264686608,Emerging Economy
Italy,1.6094379124341003,25.2,9.53,27.2,10.49684202174171,0.2768738737351776,81.7,1.46,10.408224678961561,63.75211240396608,-2.0,5.921321926353101,Developed Nation
Jamaica,2.9496883350525844,31.3,4.81,49.6,8.987321812850125,2.380471631651117,74.7,2.17,8.45126704130007,31.23672008300756,-18.3,1.630680754586993,Emerging Economy
Japan,1.4350845252893227,15.0,9.49,13.6,10.485731104959568,-1.0647107369924282,82.8,1.39,10.408224678961561,72.25634027585639,1.4000000000000004,6.6128509037380585,Developed Nation
Jordan,3.0955776085237074,48.3,8.04,69.0,9.155989777226102,2.2438960966453663,75.8,3.66,8.210939733379021,30.096783635489846,-20.700000000000003,2.5972535716312746,Emerging Economy
Kazakhstan,3.1135153092103742,44.2,4.29,29.9,9.908524844053396,3.0204248861443626,68.4,2.6,9.112837790614945,28.078025624624114,14.300000000000004,1.377863788660155,Emerging Economy
Kenya,4.146304301152812,20.7,4.75,33.6,7.816416983691801,1.128171090909654,62.8,4.37,6.875232087276577,18.689329929166824,-12.900000000000002,1.145598502907599,Low GDP Trap
Kiribati,4.154184562578117,13.3,11.3,79.9,7.456454555176209,0.924258901523332,60.7,3.84,7.307202314764738,18.16569671692864,-66.60000000000001,2.7201487631996635,Low GDP Trap
Kuwait,2.468099531471619,66.7,2.63,30.4,10.858393044780485,2.501435951739211,78.2,2.21,10.408224678961561,40.3008940504253,36.300000000000004,1.0655972202352173,Developed Nation
Kyrgyz Republic,3.4210000089583352,51.6,6.18,81.7,7.934155233536322,2.3978952727983707,68.5,3.1,6.78105762593618,24.324821000164455,-30.1,1.806489325874558,Low GDP Trap
Lao,4.380775852772229,35.4,4.47,49.3,8.289288323000317,2.322387720290225,63.8,3.15,7.039660349862076,18.06277046171816,-13.899999999999999,1.020367202118161,Health Critical
Latvia,2.174751721484161,53.7,6.68,55.1,9.814710982145282,-0.5944312076207876,73.1,1.36,9.332646496360152,42.41742014373537,-1.3999999999999986,3.071614995867771,Emerging Economy
Lebanon,2.424802725718295,35.8,7.03,60.2,9.69898173460629,0.21349717426240436,79.8,1.61,9.089414904047302,40.658316486117,-24.400000000000006,2.8992049231211237,Emerging Economy
Lesotho,4.612145799724517,39.4,11.1,101.0,7.7752758464868625,1.6389967146756448,46.5,3.3,7.065613363597717,13.299859083758468,-61.6,2.406688878019208,High Risk Country
Liberia,4.5031374604229395,19.1,11.8,92.6,6.55250788703459,1.8671761085128091,60.8,5.02,5.793013608384144,16.243235330539704,-73.5,2.6203952474708005,High Risk Country
Libya,2.8678989020441064,65.6,3.88,42.1,10.295563423525277,2.7212954278522306,76.1,2.41,9.401043372798053,33.40306268398928,23.499999999999993,1.3529068257024384,Emerging Economy
Lithuania,1.9600947840472698,65.3,7.04,67.2,9.957075711706057,1.2178757094949273,73.2,1.5,9.392745258631441,47.21701303609283,-1.9000000000000057,3.5916630447143842,Emerging Economy
Luxembourg,1.33500106673234,175.0,7.77,142.0,10.858393044780485,1.5303947050936475,81.3,1.63,10.408224678961561,76.82886574375004,33.0,5.820220068451706,Developed Nation
"Macedonia, FYR",2.4336133554004498,39.8,7.09,58.1,9.34145634983372,1.1118575154181303,74.0,1.47,8.420902531097951,37.706219304435166,-18.300000000000004,2.9133633673839467,Emerging Economy
Madagascar,4.146304301152812,25.0,3.77,43.0,7.237778191923443,2.281361456542419,60.8,4.6,6.025865973825314,17.862568394981665,-18.0,0.909243443360347,Low GDP Trap
Malawi,4.516338972281476,22.8,6.59,34.9,6.93828448401696,2.5726122302071057,53.1,5.31,6.131226489483141,14.651139203591242,-12.099999999999998,1.4591464547823771,High Risk Country
Malaysia,2.186051276738094,86.9,4.39,71.0,9.957075711706057,2.1126345090356,74.5,2.15,9.112837790614945,42.80316500257985,15.900000000000006,2.008187111946668,Emerging Economy
Maldives,2.653241964607215,77.6,6.33,65.4,9.259225769705994,1.355835153635182,77.9,2.23,8.867990898182093,36.192408362613826,12.199999999999989,2.385760546696724,Emerging Economy
Mali,4.927253685157205,22.8,4.98,35.1,7.534228326274089,1.6808279085207734,59.5,6.55,6.5638555265321274,14.936938212560909,-12.3,1.0107050130180404,High Risk Country
Malta,2.0541237336955462,153.0,8.65,154.0,10.250652418696085,1.5748464676644813,80.3,1.36,9.957075711706057,48.92973411566598,-1.0,4.21104135944036,Emerging Economy
Mauritania,4.589040804058207,50.7,4.41,61.2,8.108021221376747,2.990719731730447,68.2,4.98,7.0909098220799835,18.17349956219716,-10.5,0.9609851357390684,High Risk Country
Mauritius,2.772588722239781,51.2,6.0,62.2,9.674137279312397,0.7561219797213337,73.4,1.57,8.987321812850125,33.204152622316265,-11.0,2.1640425613334453,Emerging Economy
"Micronesia, Fed. Sts.",3.713572066704308,23.5,14.2,81.0,8.114025442356757,1.5686159179138452,65.4,3.46,7.95892649305011,21.93924083657594,-57.5,3.8238116145143524,Other
Moldova,2.9014215940827497,39.2,11.7,78.5,8.271548374755515,2.4932054526026954,69.7,1.27,7.396948602621014,29.422989458505352,-39.3,4.032506004594902,Low GDP Trap
Mongolia,3.299533727885655,46.7,5.44,56.7,8.95040315983296,3.4339872044851463,66.2,2.64,7.8826922062890254,25.165099742541404,-10.0,1.6487178033745873,High Inflation Risk
Montenegro,2.0541237336955462,37.0,9.11,62.7,9.546884034617925,0.9555114450274365,76.4,1.77,8.807022955925477,46.12862674054836,-25.700000000000003,4.434981131156262,Emerging Economy
Morocco,3.5409593240373143,32.2,5.2,43.0,8.77043908654689,0.681074599325676,73.5,2.58,7.9483852851118995,25.47863901153022,-10.799999999999997,1.4685285890466226,Other
Mozambique,4.624972813284271,31.5,5.21,46.2,6.823286122355687,2.1564025828159643,54.5,5.56,6.040254711277414,14.565175527117773,-14.700000000000003,1.1264931082481957,High Risk Country
Myanmar,4.180522258463153,0.109,1.97,0.0659,8.221747728346623,2.084429083190875,66.8,2.41,6.8966943316227125,19.595265135625485,0.0431,0.4712329891347626,Low GDP Trap
Namibia,4.04305126783455,47.8,6.78,60.7,9.0432226489245,1.5173226235262947,58.6,3.6,8.55468163582723,18.846633207687017,-12.900000000000006,1.6769512803213484,Emerging Economy
Nepal,3.8712010109078907,9.58,5.25,36.4,7.596392304064196,2.7788192719904172,68.3,2.61,6.385194398997726,21.254795726498553,-26.82,1.356168275738476,High Inflation Risk
Netherlands,1.7047480922384253,72.0,11.9,63.6,10.725489582719506,0.6141039732194924,80.7,1.79,10.408224678961561,59.735344315867785,8.399999999999999,6.980503485635033,Developed Nation
New Zealand,1.9740810260220096,30.3,10.1,28.0,10.382853468483827,1.5539252025038417,80.9,2.17,10.408224678961561,51.513122717340586,2.3000000000000007,5.116304683983823,Developed Nation
Niger,4.820281565605037,22.2,5.16,49.1,6.703188113240863,1.2669476034873244,58.8,7.49,5.855071922202427,14.803753487061387,-26.900000000000002,1.070476886001642,High Risk Country
Nigeria,4.875197323201151,25.3,5.07,17.4,8.546946149565585,3.4339872044851463,60.5,5.84,7.754052639035757,15.7534133896702,7.900000000000002,1.039957906087571,High Inflation Risk
Norway,1.4350845252893227,39.7,9.48,28.5,10.858393044780485,1.9387416595767009,81.0,1.95,10.408224678961561,71.2617381914312,11.200000000000003,6.605882673070263,Developed Nation
Oman,2.5416019934645457,65.7,2.77,41.2,10.721084386282662,2.8094026953624973,76.1,2.9,9.867912187022208,38.042540422115714,24.5,1.0898637973698302,High Inflation Risk
Pakistan,4.533674184283021,13.5,2.2,19.4,8.361941906144946,2.4765384001174837,65.3,3.85,6.947937068614969,17.780254093735227,-5.899999999999999,0.48525763223717844,High Risk Country
Panama,3.0301337002713233,70.0,8.1,78.2,9.642187721358466,1.2781522025001875,77.8,2.62,8.997270906233448,31.82679979400135,-8.200000000000003,2.6731493726744504,Emerging Economy
Paraguay,3.2228678461377385,55.1,5.87,51.5,8.89439598980643,1.9600947840472698,74.1,2.73,8.080546965824498,28.258975329929978,3.6000000000000014,1.8213591993958318,Other
Peru,3.0587070727153796,27.8,5.08,23.8,9.206432747145165,1.9035989509835904,77.9,2.54,8.521384396034705,31.26413051979047,4.0,1.6608324626163726,Emerging Economy
Philippines,3.493472657771326,34.8,3.61,36.6,8.630700432209832,1.6524974018945473,69.0,3.16,7.664346632098617,24.41554734214601,-1.8000000000000043,1.0333557332900418,Other
Poland,1.9459101490553132,40.1,7.46,42.1,9.989711119284745,0.9783261227936076,76.3,1.41,9.441531454869693,49.196126871854474,-2.0,3.8336816340783404,Emerging Economy
Portugal,1.589235205116581,29.9,11.0,37.4,10.211009016314165,0.49652383905513103,79.8,1.39,10.021315031649332,62.9436874579087,-7.5,6.921568289316292,Emerging Economy
Qatar,2.302585092994046,62.3,1.81,23.8,10.858393044780485,2.0769384114617173,79.5,2.07,10.408224678961561,43.76238603747558,38.5,0.7860730122448858,Developed Nation
